,Pts,season,round,team,Form
0,3,2022,Matchweek 2,Tottenham,3
1,3,2022,Matchweek 2,Arsenal,3
2,3,2022,Matchweek 2,Bournemouth,3
3,3,2022,Matchweek 2,Man City,3
4,3,2022,Matchweek 2,Newcastle,3
5,3,2022,Matchweek 2,Brighton,3
6,3,2022,Matchweek 2,Leeds,3
7,3,2022,Matchweek 2,Chelsea,3
8,1,2022,Matchweek 2,Brentford,1
9,1,2022,Matchweek 2,Fulham,1
10,1,2022,Matchweek 2,Leicester,1
11,1,2022,Matchweek 2,Liverpool,1
12,0,2022,Matchweek 2,Man Utd,0
13,0,2022,Matchweek 2,Wolves,0
14,0,2022,Matchweek 2,Everton,0
15,0,2022,Matchweek 2,Aston Villa,0
16,0,2022,Matchweek 2,Crystal Palace,0
17,0,2022,Matchweek 2,Nottm Forest,0
18,0,2022,Matchweek 2,West Ham,0
19,0,2022,Matchweek 2,Southampton,0
20,6,2022,Matchweek 3,Man City,6
21,6,2022,Matchweek 3,Arsenal,6
22,4,2022,Matchweek 3,Brentford,4
23,4,2022,Matchweek 3,Tottenham,4
24,4,2022,Matchweek 3,Newcastle,4
25,4,2022,Matchweek 3,Leeds,4
26,4,2022,Matchweek 3,Chelsea,4
27,4,2022,Matchweek 3,Brighton,4
28,3,2022,Matchweek 3,Aston Villa,3
29,3,2022,Matchweek 3,Nottm Forest,3
30,3,2022,Matchweek 3,Bournemouth,3
31,2,2022,Matchweek 3,Liverpool,2
32,2,2022,Matchweek 3,Fulham,2
33,1,2022,Matchweek 3,Wolves,1
34,1,2022,Matchweek 3,Leicester,1
35,1,2022,Matchweek 3,Crystal Palace,1
36,1,2022,Matchweek 3,Southampton,1
37,0,2022,Matchweek 3,Everton,0
38,0,2022,Matchweek 3,West Ham,0
39,0,2022,Matchweek 3,Man Utd,0
40,9,2022,Matchweek 4,Arsenal,9
41,7,2022,Matchweek 4,Man City,7
42,7,2022,Matchweek 4,Leeds,7
43,7,2022,Matchweek 4,Tottenham,7
44,7,2022,Matchweek 4,Brighton,7
45,5,2022,Matchweek 4,Newcastle,5
46,5,2022,Matchweek 4,Fulham,5
47,4,2022,Matchweek 4,Brentford,4
48,4,2022,Matchweek 4,Crystal Palace,4
49,4,2022,Matchweek 4,Nottm Forest,4
50,4,2022,Matchweek 4,Southampton,4
51,4,2022,Matchweek 4,Chelsea,4
52,3,2022,Matchweek 4,Aston Villa,3
53,3,2022,Matchweek 4,Man Utd,3
54,3,2022,Matchweek 4,Bournemouth,3
55,2,2022,Matchweek 4,Liverpool,2
56,1,2022,Matchweek 4,Everton,1
57,1,2022,Matchweek 4,Wolves,1
58,1,2022,Matchweek 4,Leicester,1
59,0,2022,Matchweek 4,West Ham,0
60,12,2022,Matchweek 5,Arsenal,9
61,10,2022,Matchweek 5,Man City,7
62,10,2022,Matchweek 5,Tottenham,7
63,10,2022,Matchweek 5,Brighton,7
64,7,2022,Matchweek 5,Leeds,4
65,7,2022,Matchweek 5,Chelsea,4
66,6,2022,Matchweek 5,Newcastle,3
67,6,2022,Matchweek 5,Man Utd,6
68,5,2022,Matchweek 5,Liverpool,4
69,5,2022,Matchweek 5,Brentford,4
70,5,2022,Matchweek 5,Fulham,4
71,4,2022,Matchweek 5,Crystal Palace,4
72,4,2022,Matchweek 5,Southampton,4
73,4,2022,Matchweek 5,Nottm Forest,4
74,3,2022,Matchweek 5,Aston Villa,3
